waktu,stasiun,AOD
2023-01-09 11:00:00,Jatinegara,
2023-01-09 11:00:00,Kelapa Gading Indah,
2023-01-09 12:00:00,Slipi,
2023-01-09 12:00:00,Menteng,
2023-01-09 12:00:00,Jagakarsa,
2023-01-09 12:00:00,Jatinegara,
2023-01-09 12:00:00,Kelapa Gading Indah,
2023-01-09 13:00:00,Slipi,
2023-01-09 13:00:00,Menteng,
2023-01-09 13:00:00,Jagakarsa,
2023-01-09 13:00:00,Jatinegara,
2023-01-09 13:00:00,Kelapa Gading Indah,
2023-01-09 14:00:00,Slipi,
2023-01-09 14:00:00,Menteng,
2023-01-09 14:00:00,Jagakarsa,
2023-01-09 14:00:00,Jatinegara,
2023-01-09 14:00:00,Kelapa Gading Indah,
2023-01-09 15:00:00,Slipi,
2023-01-09 15:00:00,Menteng,
2023-01-09 15:00:00,Jagakarsa,
2023-01-09 15:00:00,Jatinegara,
2023-01-09 15:00:00,Kelapa Gading Indah,
2023-01-09 16:00:00,Slipi,
2023-01-09 16:00:00,Menteng,
2023-01-09 16:00:00,Jagakarsa,
2023-01-09 16:00:00,Jatinegara,
2023-01-09 16:00:00,Kelapa Gading Indah,
2023-01-10 07:00:00,Slipi,
2023-01-10 07:00:00,Menteng,
2023-01-10 07:00:00,Jagakarsa,
2023-01-10 07:00:00,Jatinegara,
2023-01-10 07:00:00,Kelapa Gading Indah,
2023-01-10 08:00:00,Slipi,
2023-01-10 08:00:00,Menteng,
2023-01-10 08:00:00,Jagakarsa,
2023-01-10 08:00:00,Jatinegara,
2023-01-10 08:00:00,Kelapa Gading Indah,
2023-01-10 09:00:00,Slipi,
2023-01-10 09:00:00,Menteng,
2023-01-10 09:00:00,Jagakarsa,
2023-01-10 09:00:00,Jatinegara,
2023-01-10 09:00:00,Kelapa Gading Indah,
2023-01-10 10:00:00,Slipi,
2023-01-10 10:00:00,Menteng,
2023-01-10 10:00:00,Jagakarsa,
2023-01-10 10:00:00,Jatinegara,
2023-01-10 10:00:00,Kelapa Gading Indah,
2023-01-10 11:00:00,Slipi,
2023-01-10 11:00:00,Menteng,
2023-01-10 11:00:00,Jagakarsa,
2023-01-10 11:00:00,Jatinegara,
2023-01-10 11:00:00,Kelapa Gading Indah,
2023-01-10 12:00:00,Slipi,
2023-01-10 12:00:00,Menteng,
2023-01-10 12:00:00,Jagakarsa,
2023-01-10 12:00:00,Jatinegara,
2023-01-10 12:00:00,Kelapa Gading Indah,
2023-01-10 13:00:00,Slipi,
2023-01-10 13:00:00,Menteng,
2023-01-10 13:00:00,Jagakarsa,
2023-01-10 13:00:00,Jatinegara,
2023-01-10 13:00:00,Kelapa Gading Indah,
2023-01-10 14:00:00,Slipi,
2023-01-10 14:00:00,Menteng,
2023-01-10 14:00:00,Jagakarsa,
2023-01-10 14:00:00,Jatinegara,
2023-01-10 14:00:00,Kelapa Gading Indah,
2023-01-10 15:00:00,Slipi,
2023-01-10 15:00:00,Menteng,
2023-01-10 15:00:00,Jagakarsa,
2023-01-10 15:00:00,Jatinegara,
2023-01-10 15:00:00,Kelapa Gading Indah,
2023-01-10 16:00:00,Slipi,
2023-01-10 16:00:00,Menteng,
2023-01-10 16:00:00,Jagakarsa,
2023-01-10 16:00:00,Jatinegara,
